,sofifa_id,short_name,player_positions,overall,potential,value_eur,wage_eur,age,height_m,potentialperwage,valueperwage
0,158023,l. messi,"RW, ST, CF",93,93,78000000.0,320000.0,34,1.7,0.000290625,243.75
1,188545,r. lewandowski,ST,92,92,119500000.0,270000.0,32,1.85,0.00034074074074074074,442.5925925925926
2,20801,cristiano ronaldo,"ST, LW",91,91,45000000.0,270000.0,36,1.87,0.00033703703703703706,166.66666666666666
3,190871,neymar jr,"LW, CAM",91,91,129000000.0,270000.0,29,1.75,0.00033703703703703706,477.77777777777777
4,192985,k. de bruyne,"CM, CAM",91,91,125500000.0,350000.0,30,1.81,0.00026,358.57142857142856
5,200389,j. oblak,GK,91,93,112000000.0,130000.0,28,1.8800000000000001,0.0007153846153846153,861.5384615384615
6,231747,k. mbappé,"ST, LW",91,95,194000000.0,230000.0,22,1.82,0.0004130434782608696,843.4782608695652
7,167495,m. neuer,GK,90,90,13500000.0,86000.0,35,1.93,0.0010465116279069768,156.97674418604652
8,192448,m. ter stegen,GK,90,92,99000000.0,250000.0,29,1.87,0.000368,396.0
9,202126,h. kane,ST,90,90,129500000.0,240000.0,27,1.8800000000000001,0.000375,539.5833333333334
10,215914,n. kanté,"CDM, CM",90,90,100000000.0,230000.0,30,1.68,0.000391304347826087,434.7826086956522
11,165153,k. benzema,"CF, ST",89,89,66000000.0,350000.0,33,1.85,0.00025428571428571427,188.57142857142858
12,192119,t. courtois,GK,89,91,85500000.0,250000.0,29,1.99,0.000364,342.0
13,200104,h. son,"LM, CF, LW",89,89,104000000.0,220000.0,28,1.83,0.0004045454545454545,472.72727272727275
14,200145,casemiro,CDM,89,89,88000000.0,310000.0,29,1.85,0.0002870967741935484,283.8709677419355
15,203376,v. van dijk,CB,89,89,86000000.0,230000.0,29,1.93,0.00038695652173913046,373.9130434782609
16,208722,s. mané,LW,89,89,101000000.0,270000.0,29,1.75,0.00032962962962962964,374.0740740740741
17,209331,m. salah,RW,89,89,101000000.0,270000.0,29,1.75,0.00032962962962962964,374.0740740740741
18,210257,ederson,GK,89,91,94000000.0,200000.0,27,1.8800000000000001,0.000455,470.0
19,212622,j. kimmich,"CDM, RB",89,90,108000000.0,160000.0,26,1.77,0.0005625,675.0
20,212831,alisson,GK,89,90,82000000.0,190000.0,28,1.9100000000000001,0.00047368421052631577,431.57894736842104
21,230621,g. donnarumma,GK,89,93,119500000.0,110000.0,22,1.96,0.0008454545454545455,1086.3636363636363
22,155862,sergio ramos,CB,88,88,24000000.0,115000.0,35,1.84,0.0007652173913043479,208.69565217391303
23,176580,l. suárez,ST,88,88,44500000.0,135000.0,34,1.82,0.0006518518518518518,329.6296296296296
24,182521,t. kroos,CM,88,88,75000000.0,310000.0,31,1.83,0.0002838709677419355,241.93548387096774
25,192505,r. lukaku,ST,88,88,93500000.0,260000.0,28,1.9100000000000001,0.00033846153846153846,359.61538461538464
26,193041,k. navas,GK,88,88,15500000.0,130000.0,34,1.85,0.0006769230769230769,119.23076923076923
27,202652,r. sterling,"LW, RW",88,89,107500000.0,290000.0,26,1.7,0.0003068965517241379,370.6896551724138
28,212198,bruno fernandes,CAM,88,89,107500000.0,250000.0,26,1.79,0.000356,430.0
29,239085,e. haaland,ST,88,93,137500000.0,110000.0,20,1.94,0.0008454545454545455,1250.0
30,153079,s. agüero,ST,87,87,51000000.0,260000.0,33,1.73,0.0003346153846153846,196.15384615384616
31,167948,h. lloris,GK,87,87,13500000.0,125000.0,34,1.8800000000000001,0.000696,108.0
32,177003,l. modrić,CM,87,87,32000000.0,190000.0,35,1.72,0.00045789473684210527,168.42105263157896
33,183898,á. di maría,"RW, LW",87,87,49500000.0,160000.0,33,1.8,0.00054375,309.375
34,186153,w. szczęsny,GK,87,87,42000000.0,105000.0,31,1.95,0.0008285714285714286,400.0
35,189596,t. müller,"CAM, RM, RW",87,87,66000000.0,140000.0,31,1.85,0.0006214285714285714,471.42857142857144
36,192387,c. immobile,ST,87,87,67500000.0,125000.0,31,1.85,0.000696,540.0
37,195864,p. pogba,"CM, LM",87,87,79500000.0,220000.0,28,1.9100000000000001,0.00039545454545454546,361.3636363636364
38,199556,m. verratti,"CM, CAM",87,87,79500000.0,155000.0,28,1.6500000000000001,0.0005612903225806451,512.9032258064516
39,207865,marquinhos,"CB, CDM",87,90,90500000.0,135000.0,27,1.83,0.0006666666666666666,670.3703703703703
40,209658,l. goretzka,"CM, CDM",87,88,93000000.0,140000.0,26,1.8900000000000001,0.0006285714285714285,664.2857142857143
