,sofifa_id,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,height_cm
0,158023,L. Messi,Lionel Andrés Messi Cuccittini,"RW, ST, CF",1.0,0.9130434783,-0.19593177,0.8283261803,-0.0526315789,-0.4117647059
1,188545,R. Lewandowski,Robert Lewandowski,ST,0.9565217391,0.8695652174,0.2319231305,0.5422031474,-0.1578947368,0.1764705882
2,20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,"ST, LW",0.9130434783,0.8260869565,-0.5361537391,0.5422031474,0.0526315789,0.2549019608
3,190871,Neymar Jr,Neymar da Silva Santos Júnior,"LW, CAM",0.9130434783,0.8260869565,0.3298658185,0.5422031474,-0.3157894737,-0.2156862745
4,192985,K. De Bruyne,Kevin De Bruyne,"CM, CAM",0.9130434783,0.8260869565,0.2937816703,1.0,-0.2631578947,0.0196078431
5,200389,J. Oblak,Jan Oblak,GK,0.9130434783,0.9130434783,0.1545999557,-0.2589413448,-0.3684210526,0.2941176471
6,231747,K. Mbappé,Kylian Mbappé Lottin,"ST, LW",0.9130434783,1.0,1.0,0.313304721,-0.6842105263,0.0588235294
7,167495,M. Neuer,Manuel Peter Neuer,GK,0.8695652174,0.7826086957,-0.8609110732,-0.5107296137,0.0,0.4901960784
8,192448,M. ter Stegen,Marc-André ter Stegen,GK,0.8695652174,0.8695652174,0.0205731194,0.4277539342,-0.3157894737,0.2549019608
9,202126,H. Kane,Harry Kane,ST,0.8695652174,0.7826086957,0.3350206968,0.3705293276,-0.4210526316,0.2941176471
10,215914,N. Kanté,N'Golo Kanté,"CDM, CM",0.8695652174,0.7826086957,0.030882876,0.313304721,-0.2631578947,-0.4901960784
11,165153,K. Benzema,Karim Benzema,"CF, ST",0.8260869565,0.7391304348,-0.3196488497,1.0,-0.1052631579,0.1764705882
12,192119,T. Courtois,Thibaut Courtois,GK,0.8260869565,0.8260869565,-0.1186085952,0.4277539342,-0.3157894737,0.7254901961
13,200104,H. Son,손흥민 孙兴慜,"LM, CF, LW",0.8260869565,0.7391304348,0.0721219026,0.2560801144,-0.3684210526,0.0980392157
14,200145,Casemiro,Carlos Henrique Venancio Casimiro,CDM,0.8260869565,0.7391304348,-0.0928342036,0.7711015737,-0.3157894737,0.1764705882
15,203376,V. van Dijk,Virgil van Dijk,CB,0.8260869565,0.7391304348,-0.1134537169,0.313304721,-0.3157894737,0.4901960784
16,208722,S. Mané,Sadio Mané,LW,0.8260869565,0.7391304348,0.0411926326,0.5422031474,-0.3157894737,-0.2156862745
17,209331,M. Salah,Mohamed Salah Ghaly,RW,0.8260869565,0.7391304348,0.0411926326,0.5422031474,-0.3157894737,-0.2156862745
18,210257,Ederson,Ederson Santana de Moraes,GK,0.8260869565,0.8260869565,-0.0309756638,0.1416309013,-0.4210526316,0.2941176471
19,212622,J. Kimmich,Joshua Walter Kimmich,"CDM, RB",0.8260869565,0.7826086957,0.1133609291,-0.087267525,-0.4736842105,-0.137254902
20,212831,Alisson,Alisson Ramsés Becker,GK,0.8260869565,0.7826086957,-0.1546927435,0.0844062947,-0.3684210526,0.4117647059
21,230621,G. Donnarumma,Gianluigi Donnarumma,GK,0.8260869565,0.9130434783,0.2319231305,-0.3733905579,-0.6842105263,0.6078431373
22,155862,Sergio Ramos,Sergio Ramos García,CB,0.7826086957,0.6956521739,-0.7526586285,-0.3447782546,0.0,0.137254902
23,176580,L. Suárez,Luis Alberto Suárez Díaz,ST,0.7826086957,0.6956521739,-0.5413086174,-0.2303290415,-0.0526315789,0.0588235294
24,182521,T. Kroos,Toni Kroos,CM,0.7826086957,0.6956521739,-0.2268610399,0.7711015737,-0.2105263158,0.0980392157
25,192505,R. Lukaku,Romelu Lukaku Menama,ST,0.7826086957,0.6956521739,-0.0361305421,0.4849785408,-0.3684210526,0.4117647059
26,193041,K. Navas,Keylor Navas Gamboa,GK,0.7826086957,0.6956521739,-0.8402915599,-0.2589413448,-0.0526315789,0.1764705882
27,202652,R. Sterling,Raheem Sterling,"LW, RW",0.7826086957,0.7391304348,0.1082060508,0.6566523605,-0.4736842105,-0.4117647059
28,212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,CAM,0.7826086957,0.7391304348,0.1082060508,0.4277539342,-0.4736842105,-0.0588235294
29,239085,E. Haaland,Erling Braut Haaland,ST,0.7826086957,0.9130434783,0.4174987499,-0.3733905579,-0.7894736842,0.5294117647
30,153079,S. Agüero,Sergio Leonel Agüero del Castillo,ST,0.7391304348,0.652173913,-0.4742951993,0.4849785408,-0.1052631579,-0.2941176471
31,167948,H. Lloris,Hugo Lloris,GK,0.7391304348,0.652173913,-0.8609110732,-0.2875536481,-0.0526315789,0.2941176471
32,177003,L. Modrić,Luka Modrić,CM,0.7391304348,0.652173913,-0.6701805754,0.0844062947,0.0,-0.3333333333
33,183898,Á. Di María,Ángel Fabián Di María Hernández,"RW, LW",0.7391304348,0.652173913,-0.4897598342,-0.087267525,-0.1052631579,-0.0196078431
34,186153,W. Szczęsny,Wojciech Tomasz Szczęsny,GK,0.7391304348,0.652173913,-0.567083009,-0.4020028612,-0.2105263158,0.568627451
35,189596,T. Müller,Thomas Müller,"CAM, RM, RW",0.7391304348,0.652173913,-0.3196488497,-0.2017167382,-0.2105263158,0.1764705882
36,192387,C. Immobile,Ciro Immobile,ST,0.7391304348,0.652173913,-0.3041842147,-0.2875536481,-0.2105263158,0.1764705882
37,195864,P. Pogba,Paul Pogba,"CM, LM",0.7391304348,0.652173913,-0.1804671351,0.2560801144,-0.3684210526,0.4117647059
38,199556,M. Verratti,Marco Verratti,"CM, CAM",0.7391304348,0.652173913,-0.1804671351,-0.1158798283,-0.3684210526,-0.6078431373
39,207865,Marquinhos,Marcos Aoás Corrêa,"CB, CDM",0.7391304348,0.7826086957,-0.0670598121,-0.2303290415,-0.4210526316,0.0980392157
40,209658,L. Goretzka,Leon Christoph Goretzka,"CM, CDM",0.7391304348,0.6956521739,-0.0412854205,-0.2017167382,-0.4736842105,0.3333333333
41,211110,P. Dybala,Paulo Bruno Exequiel Dybala,"CF, CAM",0.7391304348,0.6956521739,-0.0412854205,-0.087267525,-0.4210526316,-0.137254902
42,216267,A. Robertson,Andrew Robertson,LB,0.7391304348,0.6956521739,-0.1392281085,-0.0014306152,-0.4210526316,-0.0980392157
43,228702,F. de Jong,Frenkie de Jong,"CM, CDM, CB",0.7391304348,0.8695652174,0.2319231305,0.1988555079,-0.5789473684,-0.0196078431
44,231281,T. Alexander-Arnold,Trent Alexander-Arnold,RB,0.7391304348,0.8695652174,0.1752194689,-0.1444921316,-0.6842105263,-0.0196078431
45,233049,J. Sancho,Jadon Sancho,"RM, CF, LM",0.7391304348,0.8260869565,0.2009938605,-0.1444921316,-0.7368421053,-0.0196078431
46,239818,Rúben Dias,Rúben dos Santos Gato Alves Dias,CB,0.7391304348,0.8260869565,0.0566572676,-0.0300429185,-0.5789473684,0.2549019608
47,138956,G. Chiellini,Giorgio Chiellini,CB,0.6956521739,0.6086956522,-0.8763757082,-0.4992846924,0.0526315789,0.2549019608
48,162835,S. Handanovič,Samir Handanovič,GK,0.6956521739,0.6086956522,-0.922769613,-0.556509299,0.0526315789,0.4901960784
49,178603,M. Hummels,Mats Hummels,CB,0.6956521739,0.6086956522,-0.5464634957,-0.4592274678,-0.1578947368,0.4117647059
50,189332,Jordi Alba,Jordi Alba Ramos,"LB, LM",0.6956521739,0.6086956522,-0.5155342258,0.1416309013,-0.1578947368,-0.4117647059
51,189509,Thiago,Thiago Alcântara do Nascimento,"CM, CDM",0.6956521739,0.6086956522,-0.3299586063,0.0271816881,-0.2631578947,-0.2549019608
52,189511,Sergio Busquets,Sergio Busquets i Burgos,"CDM, CM",0.6956521739,0.6086956522,-0.5361537391,0.1416309013,-0.1578947368,0.3333333333
53,189513,Parejo,Daniel Parejo Muñoz,CM,0.6956521739,0.6086956522,-0.4485208077,-0.6366237482,-0.1578947368,0.0588235294
54,192984,K. Casteels,Koen Casteels,GK,0.6956521739,0.652173913,-0.4639854426,-0.4992846924,-0.3157894737,0.6470588235
55,198219,L. Insigne,Lorenzo Insigne,"LW, CF",0.6956521739,0.6086956522,-0.324803728,-0.2875536481,-0.2631578947,-0.6862745098
56,201024,K. Koulibaly,Kalidou Koulibaly,CB,0.6956521739,0.6086956522,-0.4279012944,-0.4020028612,-0.2631578947,0.2549019608
57,201535,R. Varane,Raphaël Varane,CB,0.6956521739,0.6956521739,-0.2938744581,0.0271816881,-0.3684210526,0.4117647059
58,204485,R. Mahrez,Riyad Mahrez,"RW, RM",0.6956521739,0.6086956522,-0.324803728,0.2560801144,-0.2631578947,-0.0588235294
59,208093,Gerard Moreno,Gerard Moreno Balagueró,"ST, RM, RW",0.6956521739,0.6086956522,-0.2990293364,-0.5851216023,-0.3157894737,-0.0196078431
60,208830,J. Vardy,Jamie Vardy,ST,0.6956521739,0.6086956522,-0.6598708187,0.0271816881,-0.0526315789,-0.0588235294
61,209499,Fabinho,Fábio Henrique Tavares,"CDM, CB",0.6956521739,0.6956521739,-0.2423256749,-0.0586552217,-0.4210526316,0.2941176471
62,210514,João Cancelo,João Pedro Cavaco Cancelo,"RB, LB",0.6956521739,0.652173913,-0.2629451882,0.0557939914,-0.4210526316,0.0588235294
63,212218,A. Laporte,Aymeric Laporte,CB,0.6956521739,0.7391304348,-0.2062415267,0.0557939914,-0.4210526316,0.4117647059
64,213345,K. Coman,Kingsley Junior Coman,"LM, RM, LW",0.6956521739,0.652173913,-0.1650025001,-0.3161659514,-0.5263157895,-0.0196078431
65,218667,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,"CAM, CM, RW",0.6956521739,0.652173913,-0.1753122568,0.1416309013,-0.4736842105,-0.2941176471
66,226161,Marcos Llorente,Marcos Llorente Moreno,"CM, RM, ST",0.6956521739,0.7391304348,-0.0928342036,-0.4592274678,-0.4736842105,0.137254902
67,231866,Rodri,Rodrigo Hernández Cascante,CDM,0.6956521739,0.7391304348,-0.1650025001,-0.0014306152,-0.5263157895,0.4117647059
68,232363,M. Škriniar,Milan Škriniar,CB,0.6956521739,0.6956521739,-0.2371707966,-0.1444921316,-0.4736842105,0.2941176471
69,143076,A. Gómez,Alejandro Darío Gómez,"CAM, CF, CM",0.652173913,0.5652173913,-0.6547159404,-0.7110157368,-0.1052631579,-0.5294117647
70,163587,K. Schmeichel,Kasper Peter Schmeichel,GK,0.652173913,0.5652173913,-0.9073049781,-0.3447782546,-0.0526315789,0.3333333333
71,164240,Thiago Silva,Thiago Emiliano da Silva,CB,0.652173913,0.5652173913,-0.9021500997,-0.4020028612,0.0526315789,0.0980392157
72,168542,David Silva,David Josué Jiménez Silva,"CAM, CM",0.652173913,0.5652173913,-0.7732781418,-0.7510729614,0.0,-0.2941176471
73,177683,Y. Sommer,Yann Sommer,GK,0.652173913,0.5652173913,-0.7268842369,-0.773962804,-0.1578947368,0.0980392157
